Step,Training Loss,Test Loss
0.0,0.18040095269680023,0.06959719955921173
1000.0,0.04753299802541733,0.001040217000991106
2000.0,0.033010732382535934,7.391620601993054e-05
3000.0,0.0248514786362648,4.461593562155031e-05
4000.0,0.008418072946369648,4.0789233025861904e-05
5000.0,0.00430102227255702,1.272452573175542e-05
6000.0,0.0032527276780456305,7.589156211906811e-06
7000.0,0.0025829519145190716,7.978254870977253e-06
8000.0,0.0022660652175545692,8.991791219159495e-06
9000.0,0.0019067996181547642,7.0159580900508445e-06
10000.0,0.0016508173430338502,6.15892349742353e-06
10000.0,0.0016508173430338502,6.15892349742353e-06
11000.0,0.0016485817031934857,6.0785050663980655e-06
12000.0,0.0016462464118376374,6.060636223992333e-06
13000.0,0.0016438097227364779,6.0457655308709946e-06
14000.0,0.0016416356666013598,6.036456397850998e-06
15000.0,0.0016396091086789966,6.022405614203308e-06
16000.0,0.0016376265557482839,6.0093734646216035e-06
17000.0,0.0016357345739379525,5.9968206187477335e-06
18000.0,0.0016338819405063987,5.983107257634401e-06
19000.0,0.0016320584109053016,5.971163773210719e-06
20000.0,0.0016303008887916803,5.959865120530594e-06
21000.0,0.0016285465098917484,5.9479079936863855e-06
22000.0,0.0016268069157376885,5.936165507591795e-06
23000.0,0.001625056262128055,5.924876404606039e-06
24000.0,0.0016233285423368216,5.917251655773725e-06
25000.0,0.0016215882496908307,5.9115513977303635e-06
25000.0,0.016388755291700363,5.9115513977303635e-06
26000.0,0.0015902810264378786,4.441336841409793e-06
27000.0,0.0013552044983953238,4.67271411253023e-06
28000.0,0.0011429254664108157,4.058070771861821e-06
29000.0,0.0009523933404125273,2.9966481633891817e-06
30000.0,0.0008319234475493431,2.3812312974769156e-06
31000.0,0.0008960537379607558,3.911509793397272e-06
32000.0,0.001263279002159834,8.874935701896902e-06
32000.0,0.001263279002159834,8.874935701896902e-06
33000.0,0.0001155339487013407,6.086925168347079e-07
34000.0,5.154828613740392e-05,1.0261044991466406e-07
35000.0,2.900048639276065e-05,7.877461172256517e-08
36000.0,1.8936079868581146e-05,4.581860579833119e-08
37000.0,1.3875027434551157e-05,2.8238771321298373e-08
38000.0,8.864313713274896e-06,4.0149089386432024e-08
39000.0,6.3079778556129895e-06,1.5505380090985454e-08
40000.0,4.686148713517468e-06,1.2569845608823016e-08
41000.0,4.671026090363739e-06,1.2381001113226375e-08
42000.0,4.6608706725237425e-06,1.2509420166395557e-08
43000.0,4.653537416743347e-06,1.2548810879309258e-08
44000.0,4.649087713914923e-06,1.2496137458128942e-08
45000.0,4.645662102120696e-06,1.2459912213103053e-08
46000.0,4.6419618229265325e-06,1.2480882105592173e-08
47000.0,4.6392742660827935e-06,1.2476161437291466e-08
47000.0,0.004413129296153784,1.2476161437291466e-08
48000.0,8.28137417556718e-05,3.285304828182234e-08
49000.0,5.113165752845816e-05,5.3938542521336785e-08
50000.0,3.9488044421887025e-05,4.173486090053302e-08
50000.0,3.9488044421887025e-05,4.173486090053302e-08
51000.0,3.94186245102901e-05,4.0337372553267414e-08
52000.0,3.93797890865244e-05,4.006601628248063e-08
53000.0,3.93399823224172e-05,3.973947571012104e-08
54000.0,3.9303635276155546e-05,3.956635197255309e-08
55000.0,3.9266273233806714e-05,3.9457823675093096e-08
56000.0,3.9229147660080343e-05,3.937011427979087e-08
57000.0,3.91996291000396e-05,3.929319092321748e-08
58000.0,3.916728019248694e-05,3.92833676698956e-08
59000.0,3.913532054866664e-05,3.9242795679683695e-08
60000.0,3.910230225301348e-05,3.9204206103704564e-08
61000.0,3.907319842255674e-05,3.915603841164739e-08
62000.0,3.904812547261827e-05,3.912929358307338e-08
63000.0,3.901886157109402e-05,3.913958579460086e-08
64000.0,3.8989099266473204e-05,3.916050772545532e-08
65000.0,3.896523776347749e-05,3.9159719023018624e-08
